5	Học cách sắp số theo thứ tự.
18	Học cách nhận ra những màu ít gặp.
97	Học nhân số trong thời gian có hạn.
116	Tìm kết quả phép chia trong thời gian có hạn.
132	Học tìm hiệu của hai số trong thời gian có hạn.
150	Học tìm tổng của hai số trong thời gian có hạn.
168	Luyện tìm liên hệ logic.
172	Rèn khả năng tính trước và tư duy chiến thuật.
183	Học thứ tự bảng chữ cái.
193	Vẽ sơ đồ mạch điện tương tự và mô phỏng ngay tức thì.
270	Làm quen với bàn phím.
274	Cho trẻ nhỏ thấy hình ảnh và âm thanh phản hồi khi dùng chuột, để bé hiểu chuột dùng thế nào.
283	Học cách ghép một đồ vật với hình dạng của nó.
288	Học cách viết một đoạn văn bằng chương trình soạn thảo.
306	Phối hợp vận động. Ghép nối theo khái niệm.
312	Học cách ghép các hình học.
332	Luyện vận động tinh và đếm cơ bản.
361	Phối hợp nhịp nhàng động tác tay trái và tay phải.
371	Rèn tư duy chiến thuật, kỹ năng đếm và trừ.
378	Làm quen với hệ đếm nhị phân.
402	Để trẻ khám phá hệ chữ nổi Braille.
421	Luyện viết chữ nổi.
426	Rèn một số kỹ năng logic (nối dữ kiện, suy luận) và tưởng tượng không gian, kết hợp tính toán.
436	Học cách dùng lịch.
495	Hiểu âu thuyền hoạt động thế nào.
505	Xây dựng tư duy khái niệm và mở rộng hiểu biết.
583	Luyện chơi cờ đam.
595	Học chơi cờ vua.
614	Kết thúc một ván cờ vua.
618	Học cách nhận ra trình tự thời gian của một câu chuyện.
681	Nhận ra tên của các chữ cái viết thường.
687	Nhận ra tên của các chữ cái viết hoa.
692	Luyện dùng chuột hoặc màn hình cảm ứng để chạm đúng điểm.
697	Luyện phối hợp vận động, di chuyển bàn tay thật chính xác.
705	Học các đơn vị thời gian (giờ, phút và giây). Chỉnh giờ trên đồng hồ kim.
721	Học cách pha các màu sơn cơ bản để ra đúng màu yêu cầu.
740	Học cách pha các màu ánh sáng cơ bản để ra đúng màu yêu cầu.
746	Luyện nhận biết các màu khác nhau.
766	Học cách so sánh giá trị của các số.
787	Học cách vẽ đường tròn và cung tròn bằng compa.
860	Luyện phối hợp vận động.
874	Rèn khả năng quan sát và tưởng tượng không gian.
903	Vẽ một mạch logic số và mô phỏng ngay tức thì.
1002	Khám phá đường hypotrochoid và dùng chúng làm công cụ vẽ trên máy tính.
1034	Học cách viết chữ cái một cách vui vẻ.
1038	Học cách viết chữ số một cách vui vẻ.
1042	Luyện đếm số lượng nhỏ.
1055	Rèn kỹ năng phối hợp vận động.
1065	Học cách gắn tiếng kêu của con vật với tên gọi và hình dáng của nó.
1105	Tìm hiểu nhiều công trình nổi tiếng trên thế giới và nhớ vị trí của chúng.
1260	Tìm hiểu nhiều loài thú hoang trên thế giới và nhớ nơi chúng sống.
1302	Hiểu rõ hơn sự phong phú của âm nhạc trên thế giới.
1331	Học các mối quan hệ trong gia đình, theo hệ tuyến tính dùng ở phần lớn xã hội phương Tây.
1362	Rèn khả năng tính trước và tưởng tượng không gian.
1367	Học cách đếm ngày và tìm một ngày trên lịch.
1398	Phối hợp vận động tinh.
1402	Hiểu về hướng và tốc độ.
1406	Học cách biểu diễn một phân số của hình cho trước.
1465	Học cách viết phân số ứng với hình biểu diễn cho trước.
1475	Học về thuật toán.
1502	Học cách xác định và đặt đúng các vùng của một quốc gia.
1972	Học cách xác định và đặt đúng các châu lục cùng nhiều quốc gia trên bản đồ thế giới.
2196	Ghép chữ cái trên bàn phím với chữ cái trên màn hình.
2200	Luyện cộng, nhân, chia và trừ.
2223	Học về bội số và ước số.
2227	Luyện cộng, trừ, nhân và chia.
2237	Học về số nguyên tố.
2241	Học cách đọc trục số có vạch chia.
2262	Học cách dùng trục số có vạch chia.
2277	Học cách nhận ra các từ loại.
2304	Rèn tư duy chiến thuật, học phân biệt màu sắc và ghi nhớ vị trí tương đối.
2310	Lái tàu vũ trụ tránh va vào các hành tinh và tới được trạm không gian.
2320	Học tính toán bằng bốn phép tính.
2341	Luyện tính nhẩm theo cách tách số.
2356	Luyện so sánh các số.
2369	Cải thiện chính tả và vốn từ.
2379	Rèn tư duy chiến thuật.
2390	Hoạt động rèn tư duy logic.
2394	Mở rộng vốn từ và luyện đọc.
2442	Học cách nhận ra các loại nhạc cụ.
2475	Học cách gõ bàn phím.
2479	Hiểu về gia tốc do trọng lực gây ra.
2505	Mở rộng vốn từ của con, bằng tiếng mẹ đẻ hoặc tiếng nước ngoài.
2539	Học phép cộng bằng cách cộng số lượng.
2547	Gắn dạng thập phân của một số với hình biểu diễn của nó.
2560	Học phép cộng số thập phân bằng cách thao tác trên hình biểu diễn.
2572	Học phép trừ số thập phân bằng cách thao tác trên hình biểu diễn.
2587	Học các số viết bằng một chữ số và số lượng tương ứng.
2601	Học về số lượng bằng cách đếm xem cần bao nhiêu quả cam cho đủ số yêu cầu.
2613	Học phép trừ bằng cách đếm kết quả.
2622	Dùng chuột. Luyện bấm chuột trái và chuột phải.
2626	Phân biệt tay phải và tay trái từ nhiều góc nhìn. Biểu diễn không gian.
2640	Luyện tìm một chữ cái cho trước trong các từ.
2648	Rèn khả năng tính trước, tư duy chiến thuật và tưởng tượng không gian.
2662	Nhớ thứ tự một chuỗi sự kiện. Tìm hiểu cuộc đời Louis Braille.
2680	Học phép trừ.
2696	Học phép cộng.
2710	Rèn khả năng tưởng tượng không gian và tìm đường.
2719	Rèn khả năng tưởng tượng không gian, tìm đường và ghi nhớ bằng mắt.
2732	Hoạt động rèn tai nghe.
2740	Học chữ viết thường và chữ viết hoa.
2751	Luyện về số.
2763	Luyện cộng, trừ, nhân, chia.
2780	Luyện cộng và trừ.
2787	Luyện phép cộng.
2803	Luyện phép chia.
2821	Luyện phép trừ.
2837	Luyện phép nhân và phép chia.
2844	Luyện phép nhân.
2861	Rèn trí nhớ âm thanh.
2867	Rèn trí nhớ hình ảnh.
2871	Luyện đọc số.
2905	GCompris là bộ phần mềm giáo dục chất lượng cao, gồm rất nhiều hoạt động dành cho trẻ từ 2 tới 10 tuổi.
2995	Học cách dùng bánh xe chuột hoặc cử chỉ chụm ngón tay để phóng to, thu nhỏ.
3013	Học cách viết đúng chính tả.
3021	Luyện đếm và dùng tiền.
3035	Luyện đếm và dùng tiền, có cả tiền xu.
3041	Học cách gửi và nhận tin bằng mã Morse quốc tế.
3062	Rèn khả năng quan sát và ghép nối.
3073	Trả lời các câu hỏi do thầy cô gửi tới.
3080	Rèn tư duy chiến thuật và tưởng tượng không gian.
3099	Nắm vững vị trí và cách gọi tên nốt nhạc. Chuẩn bị cho hoạt động 'Chơi dương cầm' và 'Sáng tác dương cầm'.
3110	Học dãy số theo thứ tự.
3114	Học cách nhận ra số chẵn, số lẻ và thứ tự của chúng.
3147	Học cách sắp một chuỗi sự kiện theo thứ tự thời gian.
3154	Luyện sắp số theo thứ tự.
3173	Luyện sắp từ thành một câu có nghĩa.
3181	Rèn kỹ năng tư duy chiến thuật.
3217	Rèn khả năng tưởng tượng và đọc bản đồ, học cách đi theo chỉ dẫn.
3246	Rèn khả năng để ý chi tiết.
3252	Hiểu về cách sáng tác nhạc và thêm hứng thú chơi nhạc bằng bàn phím dương cầm. Hoạt động này chạm tới nhiều điều căn bản của âm nhạc, nhưng sáng tác nhạc còn nhiều thứ để khám phá hơn nữa. Nếu con thích hoạt động này và muốn công cụ chuyên sâu hơn, hãy thử tải Minuet (https://minuet.kde.org/), một phần mềm mở dạy nhạc, hoặc MuseScore (https://musescore.org), một phần mềm mở để chép nhạc.
3353	Học thứ tự các số.
3361	Hiểu bàn phím dương cầm chơi được bản nhạc ghi trên khuông nhạc như thế nào.
3372	Học cách giữ đúng nhịp.
3389	Mô tả vị trí tương đối của một đồ vật.
3412	Học cách viết lệnh để di chuyển theo một đường đi.
3448	Rèn trí nhớ.
3459	Luyện đọc trong thời gian có hạn.
3469	Học cách xác định vị trí trong lưới ô và vẽ lại hình mẫu.
3479	Học cách xác định vị trí trong lưới ô và vẽ lại hình mẫu theo phép đối xứng.
3485	Tìm hiểu một hệ thống điện chạy bằng năng lượng tái tạo.
3498	Học cách đếm khoảng.
3508	Học cách đọc, viết chữ số La Mã và đổi sang chữ số Ả Rập.
3525	Tính nhẩm, đẳng thức số học.
3537	Tính nhẩm, đẳng thức số học, đổi đơn vị.
3576	Học cách chia đều, luyện phép chia.
