4	ActivityInfo	Find the missing adjacent numbers.
17	ActivityInfo	Select the butterfly of the correct color.
96	ActivityInfo	Practice the multiplication operation.
115	ActivityInfo	Practice the division operation.
131	ActivityInfo	Practice the subtraction operation.
149	ActivityInfo	Practice the addition of numbers.
167	ActivityInfo	Complete the arrangement of fruits.
171	ActivityInfo	Line up four tokens.
182	ActivityInfo	Move the helicopter to catch the clouds following the order of the alphabet.
192	ActivityInfo	Create and simulate an analog electric schema.
269	ActivityInfo	A simple activity to discover the keyboard.
273	ActivityInfo	Move the mouse or touch the screen and observe the result.
282	ActivityInfo	Match the objects with their shapes.
287	ActivityInfo	Write your first texts.
305	ActivityInfo	Drag and drop the items to match them.
311	ActivityInfo	Drag and drop the shapes on their respective targets.
331	ActivityInfo	Navigate the ball to the door by tilting the box.
360	ActivityInfo	Press the left and right arrow keys at the same time, to make the ball go in a straight line.
370	ActivityInfo	Anticipate and force the other player to place a ball in the last hole.
377	ActivityInfo	This activity helps you to learn the concept of conversion from decimal number system to binary number system.
401	ActivityInfo	Learn and memorize the braille system.
420	ActivityInfo	Practice braille letters.
425	ActivityInfo	Solve the Calcudoku.
435	ActivityInfo	Read the instructions and select the correct date on the calendar.
494	ActivityInfo	Tux is in trouble, and needs to take his boat through a lock. Help Tux and find out how a canal lock works.
504	ActivityInfo	Categorize the items into correct and incorrect groups.
582	ActivityInfo	Capture all your opponent's pieces before your opponent captures all of yours.
594	ActivityInfo	Discover and practice chess.
613	ActivityInfo	Play the end of a chess game against Tux.
617	ActivityInfo	Drag and Drop the items to organize the story.
680	ActivityInfo	Listen to a letter and click on it.
691	ActivityInfo	Draw the picture by clicking on the selected points.
696	ActivityInfo	Catch all the swimming fish before they leave the fish tank.
704	ActivityInfo	Learn how to tell the time on an analog clock.
720	ActivityInfo	Discover paint color mixing.
739	ActivityInfo	Discover light color mixing.
745	ActivityInfo	Click on the right color.
765	ActivityInfo	Compare the numbers and choose the corresponding sign.
786	ActivityInfo	Use the compass to draw.
859	ActivityInfo	Drive the crane and copy the model.
873	ActivityInfo	Drag and Drop the shapes on their respective targets.
902	ActivityInfo	Create and simulate a digital logic circuit.
1001	ActivityInfo	Roll the gear in the cogwheel to draw.
1033	ActivityInfo	Connect the dots to draw the letters.
1037	ActivityInfo	Connect the dots to draw numbers from 0 to 9.
1041	ActivityInfo	Place the items in the best way to count them.
1054	ActivityInfo	Move the mouse or touch the screen to erase the blocks and discover the hidden picture.
1058	ActivityInfo	Double tap or double click to erase the blocks and discover the hidden picture.
1061	ActivityInfo	Click or tap to erase the blocks and discover the hidden picture.
1064	ActivityInfo	Learn about farm animals, what sounds they make, and interesting facts.
1104	ActivityInfo	Explore monuments around the world.
1259	ActivityInfo	Learn about world animals, interesting facts and their location on a map.
1301	ActivityInfo	Learn about the music of the world.
1330	ActivityInfo	Select the name you should call this family member.
1357	ActivityInfo	Select two people which have the given relationship.
1361	ActivityInfo	Move each item to recreate the image.
1366	ActivityInfo	Find the correct date and select it on the calendar.
1397	ActivityInfo	The fireman needs to stop the fire, but the hose is blocked.
1401	ActivityInfo	Kick the ball into the goal.
1405	ActivityInfo	Select the appropriate number of parts to represent the given fraction.
1464	ActivityInfo	Find the correct numerator and denominator of the represented fraction.
1474	ActivityInfo	Reproduce and complete the frieze.
1501	ActivityInfo	Place the regions on the country maps.
1971	ActivityInfo	Place the continents and countries on the world map.
2195	ActivityInfo	Type the falling letters before they reach the ground.
2199	ActivityInfo	Guide the Number Muncher to the expressions that equal the number at the bottom of the screen.
2222	ActivityInfo	Guide the Number Muncher to all the factors of the number at the bottom of the screen.
2226	ActivityInfo	Guide the Number Muncher to all the expressions that do not equal the number at the bottom of the screen.
2233	ActivityInfo	Guide the Number Muncher to all the multiples of the number at the bottom of the screen.
2236	ActivityInfo	Guide the Number Muncher to all the prime numbers.
2240	ActivityInfo	Read values on a graduated line.
2261	ActivityInfo	Place values on a graduated line.
2276	ActivityInfo	Identify grammatical classes in the given sentences.
2303	ActivityInfo	Color the graph so that no two adjacent nodes have the same color.
2309	ActivityInfo	Introduction to the concept of gravity.
2319	ActivityInfo	Calculate to find 24.
2340	ActivityInfo	Find the operations to get the required result.
2355	ActivityInfo	Help Tux escape the cave by finding the hidden number.
2368	ActivityInfo	Guess the letters of the given word.
2378	ActivityInfo	Copy the tower on the right-hand side onto the empty peg.
2383	ActivityInfo	Move the tower from the left-hand side onto the right-side peg.
2389	ActivityInfo	Find the strawberry by clicking on the blue fields.
2393	ActivityInfo	Drag and Drop each item above its name.
2441	ActivityInfo	Click on the correct musical instruments.
2474	ActivityInfo	Find the requested character and type it on the keyboard.
2478	ActivityInfo	Pilot the spaceship towards the green landing area.
2504	ActivityInfo	Complete language learning activities.
2538	ActivityInfo	Learn addition with small numbers.
2546	ActivityInfo	Represent the given decimal numbers.
