advanced_colors	Bấm vào con bướm đúng màu được yêu cầu.
algebra_by	Nhân hai số với nhau rồi gõ câu trả lời trước khi quả bóng rơi xuống nước.
algebra_minus	Trừ hai số rồi gõ câu trả lời trước khi quả bóng rơi xuống nước.
algebra_plus	Cộng hai số với nhau rồi gõ câu trả lời trước khi quả bóng rơi xuống nước.
algorithm	Bấm vào những chỗ còn thiếu trên bàn, theo đúng quy luật ở hàng phía trên.
align4	Bấm vào cột con muốn thả quân, cố xếp bốn quân thành hàng trước Tux nhé.
align4_2players	Bấm vào cột con muốn thả quân, xếp được bốn quân thành hàng là thắng.
baby_tangram	Di chuyển từng mảnh ghép để hoàn thành bức hình. Bấm vào mũi tên để xoay mảnh ghép.
babymatch	Kéo thả các món đồ cho khớp với hình.
babyshapes	Kéo thả các món đồ cho khớp với hình dạng.
bargame	Chọn số bi con muốn thả vào lỗ rồi bấm nút Đồng ý. Ai không phải bỏ bi vào lỗ đỏ là người thắng.
braille_alphabets	Bấm vào Tux để bắt đầu, rồi tạo lại các ô chữ nổi.
braille_fun	Hãy tạo ô chữ nổi cho chữ cái này.
canal_lock	Con phụ trách âu thuyền và phải giúp Tux đi qua. Bấm vào van để mực nước dâng lên hay hạ xuống, bấm vào cổng để mở hoặc đóng đường đi.
chess_partyend	Bấm vào một quân cờ trắng, các ô xanh sẽ hiện ra chỉ những nước quân đó đi được. Hãy chiếu hết vua đen nhé.
chronos	Kéo các bức tranh về đúng thứ tự để kể thành câu chuyện.
click_on_letter	Nghe chữ cái rồi bấm vào đúng chữ đó.
click_on_letter_up	Bấm vào chữ cái được yêu cầu. Bấm vào cái miệng để nghe lại.
clickanddraw	Bấm vào các điểm được đánh dấu để vẽ.
clickgame	Bắt hết cá trước khi chúng ra khỏi bể.
clockgame	Kéo các kim đồng hồ để chỉ đúng giờ được yêu cầu.
color_mix	Kéo thanh trượt trên các tuýp màu để pha ra đúng màu.
color_mix_light	Kéo thanh trượt trên các đèn pin để pha ra đúng màu.
colors	Bấm vào đúng màu.
crane	Bấm lần lượt vào từng món đồ trong khung xanh rồi chuyển chúng đi sao cho giống hệt khung hồng.
details	Kéo các bức hình về đúng chỗ của chúng.
enumerate	Sắp các món đồ cho gọn rồi đếm, sau đó gõ câu trả lời trên bàn phím.
erase	Dùng miếng bọt biển lau sạch cửa sổ để thấy bức tranh giấu bên dưới.
erase_2clic	Chạm đúp hoặc bấm đúp vào các viên gạch để thấy bức tranh giấu bên dưới.
erase_clic	Bấm hoặc chạm vào các viên gạch trong suốt để thấy bức tranh giấu bên dưới.
explore_farm_animals	Tìm hiểu vật nuôi trong trang trại và tiếng kêu của chúng.
explore_world_animals	Tìm hiểu động vật thế giới và tìm nơi chúng sống trên bản đồ.
explore_world_music	Bấm vào các chiếc va li để tìm hiểu âm nhạc khắp thế giới.
fifteen	Bấm hoặc kéo một ô nằm cạnh chỗ trống, ô đó sẽ dịch sang và để lại chỗ trống mới. Con phải xếp hết các ô về đúng thứ tự. Các con số trên ô sẽ giúp con.
geo-country	Kéo thả các vùng để hoàn thành bản đồ quốc gia.
geography	Kéo thả các mảnh để hoàn thành bản đồ.
